id_,label,filename,x1,y1,x2,y2,pose,truncated,occluded,difficult
0,with_mask,maksssksksss715.xml,81,168,127,221,Unspecified,0,0,0
1,without_mask,maksssksksss715.xml,1,169,24,228,Unspecified,0,0,0
2,without_mask,maksssksksss129.xml,106,69,124,89,Unspecified,0,0,0
3,without_mask,maksssksksss129.xml,149,30,168,53,Unspecified,0,0,0
4,with_mask,maksssksksss129.xml,246,40,271,69,Unspecified,0,0,0
5,with_mask,maksssksksss501.xml,1,41,43,125,Unspecified,0,0,0
6,with_mask,maksssksksss501.xml,48,39,118,124,Unspecified,0,0,0
7,with_mask,maksssksksss501.xml,162,47,221,123,Unspecified,0,0,0
8,with_mask,maksssksksss501.xml,242,30,298,105,Unspecified,0,0,0
9,with_mask,maksssksksss501.xml,301,51,351,118,Unspecified,0,0,0
10,with_mask,maksssksksss501.xml,357,65,401,132,Unspecified,0,0,0
11,with_mask,maksssksksss381.xml,97,64,120,89,Unspecified,0,0,0
12,with_mask,maksssksksss381.xml,163,75,185,95,Unspecified,0,0,0
13,with_mask,maksssksksss381.xml,207,70,229,96,Unspecified,0,0,0
14,with_mask,maksssksksss381.xml,247,73,267,96,Unspecified,0,0,0
15,without_mask,maksssksksss381.xml,356,148,362,156,Unspecified,0,0,0
16,without_mask,maksssksksss381.xml,379,135,385,144,Unspecified,0,0,0
17,with_mask,maksssksksss553.xml,143,190,207,293,Unspecified,0,0,0
18,with_mask,maksssksksss668.xml,38,248,111,354,Unspecified,0,0,0
19,with_mask,maksssksksss662.xml,49,80,67,97,Unspecified,0,0,0
20,with_mask,maksssksksss662.xml,96,47,110,62,Unspecified,0,0,0
21,with_mask,maksssksksss662.xml,213,57,230,77,Unspecified,0,0,0
22,with_mask,maksssksksss662.xml,350,43,372,67,Unspecified,0,0,0
23,with_mask,maksssksksss645.xml,53,184,173,323,Unspecified,0,0,0
24,with_mask,maksssksksss650.xml,108,73,155,134,Unspecified,0,0,0
25,with_mask,maksssksksss810.xml,107,277,216,400,Unspecified,0,0,0
26,mask_weared_incorrect,maksssksksss99.xml,181,54,273,162,Unspecified,0,0,0
27,with_mask,maksssksksss99.xml,99,87,176,165,Unspecified,0,0,0
28,with_mask,maksssksksss99.xml,289,99,355,233,Unspecified,0,0,0
29,with_mask,maksssksksss589.xml,88,95,178,185,Unspecified,0,0,0
30,with_mask,maksssksksss596.xml,101,151,228,327,Unspecified,0,0,0
31,with_mask,maksssksksss221.xml,21,211,53,242,Unspecified,0,0,0
32,with_mask,maksssksksss221.xml,129,187,161,219,Unspecified,0,0,0
33,with_mask,maksssksksss221.xml,208,189,234,223,Unspecified,0,0,0
34,with_mask,maksssksksss221.xml,350,217,395,251,Unspecified,0,0,0
35,with_mask,maksssksksss221.xml,377,151,389,162,Unspecified,0,0,0
36,with_mask,maksssksksss221.xml,255,156,260,165,Unspecified,0,0,0
37,with_mask,maksssksksss221.xml,229,153,234,159,Unspecified,0,0,0
38,with_mask,maksssksksss221.xml,155,156,161,163,Unspecified,0,0,0
39,without_mask,maksssksksss221.xml,112,158,119,166,Unspecified,0,0,0
40,with_mask,maksssksksss221.xml,299,182,304,190,Unspecified,0,0,0
41,with_mask,maksssksksss310.xml,21,32,44,59,Unspecified,0,0,0
42,with_mask,maksssksksss310.xml,63,37,85,60,Unspecified,0,0,0
43,with_mask,maksssksksss310.xml,228,28,248,50,Unspecified,0,0,0
44,with_mask,maksssksksss310.xml,248,78,268,100,Unspecified,0,0,0
45,with_mask,maksssksksss310.xml,333,51,348,70,Unspecified,0,0,0
46,without_mask,maksssksksss310.xml,388,63,396,72,Unspecified,0,0,0
47,with_mask,maksssksksss385.xml,125,76,157,113,Unspecified,0,0,0
48,without_mask,maksssksksss385.xml,385,25,396,46,Unspecified,0,0,0
49,without_mask,maksssksksss385.xml,217,27,229,41,Unspecified,0,0,0
50,without_mask,maksssksksss385.xml,51,20,61,31,Unspecified,0,0,0
51,without_mask,maksssksksss385.xml,87,15,97,27,Unspecified,0,0,0
52,with_mask,maksssksksss735.xml,3,29,49,79,Unspecified,0,0,0
53,with_mask,maksssksksss735.xml,121,68,152,103,Unspecified,0,0,0
54,with_mask,maksssksksss735.xml,164,40,178,60,Unspecified,0,0,0
55,with_mask,maksssksksss735.xml,195,39,222,70,Unspecified,0,0,0
56,with_mask,maksssksksss735.xml,352,52,367,68,Unspecified,0,0,0
57,without_mask,maksssksksss735.xml,379,54,392,71,Unspecified,0,0,0
58,without_mask,maksssksksss735.xml,305,46,322,65,Unspecified,0,0,0
59,without_mask,maksssksksss735.xml,281,44,296,63,Unspecified,0,0,0
60,without_mask,maksssksksss735.xml,249,42,266,67,Unspecified,0,0,0
61,without_mask,maksssksksss735.xml,75,47,97,69,Unspecified,0,0,0
62,without_mask,maksssksksss735.xml,58,51,68,62,Unspecified,0,0,0
63,with_mask,maksssksksss739.xml,125,59,184,114,Unspecified,0,0,0
64,with_mask,maksssksksss598.xml,111,203,221,355,Unspecified,0,0,0
65,with_mask,maksssksksss333.xml,76,203,181,330,Unspecified,0,0,0
66,with_mask,maksssksksss43.xml,116,46,172,108,Unspecified,0,0,0
67,with_mask,maksssksksss43.xml,7,121,31,147,Unspecified,0,0,0
68,with_mask,maksssksksss259.xml,68,213,144,306,Unspecified,0,0,0
69,with_mask,maksssksksss21.xml,40,137,109,218,Unspecified,0,0,0
70,with_mask,maksssksksss21.xml,54,57,111,112,Unspecified,0,0,0
